#sample	strand	convtype	total_read	read_with_peak	read_with_peak_perc	peaktype
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR10_DESCSUPERCOIL_NT	Pos	CH	463	0	0	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR11_DESCSUPERCOIL_NT	Pos	CH	362	0	0	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR12_DESCSUPERCOIL_NT	Pos	CH	313	0	0	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR13_DESCSUPERCOIL_NT	Pos	CH	571	1	0.2	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR14_DESCSUPERCOIL_NT	Pos	CH	407	0	0	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR15_DESCSUPERCOIL_NT	Pos	CH	264	1	0.4	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR16_DESCSUPERCOIL_NT	Pos	CH	463	2	0.4	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR17_DESCSUPERCOIL_NT	Pos	CH	57	0	0	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR18_DESCSUPERCOIL_NT	Pos	CH	527	1	0.2	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR19_DESCSUPERCOIL_NT	Pos	CH	480	11	2.3	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR20_DESCSUPERCOIL_NT	Pos	CH	629	1	0.2	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR21_DESCSUPERCOIL_NT	Pos	CH	59	0	0	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR22_DESCSUPERCOIL_NT	Pos	CH	511	1	0.2	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR23_DESCSUPERCOIL_NT	Pos	CH	575	12	2.1	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR24_DESCSUPERCOIL_NT	Pos	CH	488	1	0.2	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR25_DESCSUPERCOIL_NT	Pos	CH	127	0	0	PEAK
PBEH2_BCBC61_PLASMIDPFC53_T3TERMSHORT_VR26_DESCSUPERCOIL_NT	Pos	CH	449	2	0.4	PEAK
