#sample	strand	convtype	total_read	read_with_peak	read_with_peak_perc	peaktype
PBEH2_BCBC32_PLASMIDVR20F_2MED2_DESCSUPERCOIL_TX_RH1	Neg	GH	522	10	1.9	PEAK_TEMP
PBEH2_BCBC32_PLASMIDVR20F_2MED3_DESCSUPERCOIL_TX_RH1	Neg	GH	803	2	0.2	PEAK_TEMP
PBEH2_BCBC32_PLASMIDVR20F_3HGH1_DESCSUPERCOIL_TX_RH1	Neg	GH	831	9	1.1	PEAK_TEMP
PBEH2_BCBC32_PLASMIDVR20F_3HGH2_DESCSUPERCOIL_TX_RH1	Neg	GH	1051	17	1.6	PEAK_TEMP
PBEH2_BCBC32_PLASMIDVR20F_3HGH3_DESCSUPERCOIL_TX_RH1	Neg	GH	568	7	1.2	PEAK_TEMP
PBEH2_BCBC33_PLASMIDVR20F_1LOW1_DESCLINEARPSII_NT	Neg	GH	8833	14	0.2	PEAK_TEMP
PBEH2_BCBC33_PLASMIDVR20F_1LOW2_DESCLINEARPSII_NT	Neg	GH	5887	15	0.3	PEAK_TEMP
PBEH2_BCBC33_PLASMIDVR20F_1LOW3_DESCLINEARPSII_NT	Neg	GH	3647	9	0.2	PEAK_TEMP
PBEH2_BCBC33_PLASMIDVR20F_2MED1_DESCLINEARPSII_NT	Neg	GH	10304	28	0.3	PEAK_TEMP
PBEH2_BCBC33_PLASMIDVR20F_2MED2_DESCLINEARPSII_NT	Neg	GH	11277	178	1.6	PEAK_TEMP
PBEH2_BCBC33_PLASMIDVR20F_2MED3_DESCLINEARPSII_NT	Neg	GH	15630	50	0.3	PEAK_TEMP
PBEH2_BCBC33_PLASMIDVR20F_3HGH1_DESCLINEARPSII_NT	Neg	GH	12707	20	0.2	PEAK_TEMP
PBEH2_BCBC33_PLASMIDVR20F_3HGH2_DESCLINEARPSII_NT	Neg	GH	16890	35	0.2	PEAK_TEMP
PBEH2_BCBC33_PLASMIDVR20F_3HGH3_DESCLINEARPSII_NT	Neg	GH	7644	28	0.4	PEAK_TEMP
PBEH2_BCBC34_PLASMIDVR20F_1LOW1_DESCLINEARPSII_TX	Neg	GH	738	1	0.1	PEAK_TEMP
PBEH2_BCBC34_PLASMIDVR20F_1LOW2_DESCLINEARPSII_TX	Neg	GH	337	3	0.9	PEAK_TEMP
PBEH2_BCBC34_PLASMIDVR20F_1LOW3_DESCLINEARPSII_TX	Neg	GH	249	1	0.4	PEAK_TEMP
PBEH2_BCBC34_PLASMIDVR20F_2MED1_DESCLINEARPSII_TX	Neg	GH	926	5	0.5	PEAK_TEMP
PBEH2_BCBC34_PLASMIDVR20F_2MED2_DESCLINEARPSII_TX	Neg	GH	635	3	0.5	PEAK_TEMP
PBEH2_BCBC34_PLASMIDVR20F_2MED3_DESCLINEARPSII_TX	Neg	GH	846	9	1.1	PEAK_TEMP
PBEH2_BCBC34_PLASMIDVR20F_3HGH1_DESCLINEARPSII_TX	Neg	GH	676	3	0.4	PEAK_TEMP
PBEH2_BCBC34_PLASMIDVR20F_3HGH2_DESCLINEARPSII_TX	Neg	GH	927	5	0.5	PEAK_TEMP
PBEH2_BCBC34_PLASMIDVR20F_3HGH3_DESCLINEARPSII_TX	Neg	GH	698	2	0.3	PEAK_TEMP
PBEH2_BCBC35_PLASMIDVR20F_1LOW1_DESCLINEARPSII_TX_RH1	Neg	GH	4784	10	0.2	PEAK_TEMP
PBEH2_BCBC35_PLASMIDVR20F_1LOW2_DESCLINEARPSII_TX_RH1	Neg	GH	1952	9	0.5	PEAK_TEMP
PBEH2_BCBC35_PLASMIDVR20F_1LOW3_DESCLINEARPSII_TX_RH1	Neg	GH	1512	5	0.3	PEAK_TEMP
PBEH2_BCBC35_PLASMIDVR20F_2MED1_DESCLINEARPSII_TX_RH1	Neg	GH	5997	3	0.1	PEAK_TEMP
PBEH2_BCBC35_PLASMIDVR20F_2MED2_DESCLINEARPSII_TX_RH1	Neg	GH	3884	7	0.2	PEAK_TEMP
PBEH2_BCBC35_PLASMIDVR20F_2MED3_DESCLINEARPSII_TX_RH1	Neg	GH	5646	6	0.1	PEAK_TEMP
PBEH2_BCBC35_PLASMIDVR20F_3HGH1_DESCLINEARPSII_TX_RH1	Neg	GH	4582	4	0.1	PEAK_TEMP
PBEH2_BCBC35_PLASMIDVR20F_3HGH2_DESCLINEARPSII_TX_RH1	Neg	GH	6215	3	0	PEAK_TEMP
PBEH2_BCBC35_PLASMIDVR20F_3HGH3_DESCLINEARPSII_TX_RH1	Neg	GH	4111	6	0.1	PEAK_TEMP
PBEH2_BCBC36_PLASMIDPFC9_DESCLINEARAPALI_NT	Neg	GH	70	1	1.4	PEAK_TEMP
PBEH2_BCBC36_PLASMIDT7INIT_VR10_DESCLINEARAPALI_NT	Neg	GH	33	0	0	PEAK_TEMP
PBEH2_BCBC36_PLASMIDT7INIT_VR20_DESCLINEARAPALI_NT	Neg	GH	36	1	2.8	PEAK_TEMP
PBEH2_BCBC37_PLASMIDPFC9_DESCLINEARAPALI_TX	Neg	GH	2448	4	0.2	PEAK_TEMP
PBEH2_BCBC37_PLASMIDT7INIT_VR10_DESCLINEARAPALI_TX	Neg	GH	11047	14	0.1	PEAK_TEMP
PBEH2_BCBC37_PLASMIDT7INIT_VR20_DESCLINEARAPALI_TX	Neg	GH	8734	16	0.2	PEAK_TEMP
PBEH2_BCBC38_PLASMIDPFC9_DESCLINEARAPALI_TX_RH1	Neg	GH	1946	2	0.1	PEAK_TEMP
PBEH2_BCBC38_PLASMIDT7INIT_VR10_DESCLINEARAPALI_TX_RH1	Neg	GH	9330	3	0	PEAK_TEMP
PBEH2_BCBC38_PLASMIDT7INIT_VR20_DESCLINEARAPALI_TX_RH1	Neg	GH	8791	3	0	PEAK_TEMP
PBEH2_BCBC39_PLASMIDPFC9_DESCLINEARAPALI_NT_CORPA	Neg	GH	1409	1	0.1	PEAK_TEMP
