sample_id	plasmid	strand	call_type	filepath
18	PFC9_NTBSPQI_13	Neg	high	mergedBed/PBEH2-18_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_high.bed.tsv
18	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-18_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv
18	PFC9_NTBSPQI_13	Pos	high	mergedBed/PBEH2-18_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_high.bed.tsv
18	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-18_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv
19	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-19_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv
19	PFC9_NTBSPQI_13	Pos	high	mergedBed/PBEH2-19_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_high.bed.tsv
19	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-19_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv
20	PFC9_NTBSPQI_13	Neg	high	mergedBed/PBEH2-20_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_high.bed.tsv
20	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-20_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv
20	PFC9_NTBSPQI_13	Pos	high	mergedBed/PBEH2-20_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_high.bed.tsv
20	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-20_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv
21	PFC9_NTBSPQI_13	Neg	high	mergedBed/PBEH2-21_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_high.bed.tsv
21	PFC9_NTBSPQI_13	Neg	low	mergedBed/PBEH2-21_Plasmid_PFC9_NTBSPQI_13_Strand_Neg_call_low.bed.tsv
21	PFC9_NTBSPQI_13	Pos	high	mergedBed/PBEH2-21_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_high.bed.tsv
21	PFC9_NTBSPQI_13	Pos	low	mergedBed/PBEH2-21_Plasmid_PFC9_NTBSPQI_13_Strand_Pos_call_low.bed.tsv
22	PFC9_NTBSPQI_11	Neg	high	mergedBed/PBEH2-22_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_high.bed.tsv
22	PFC9_NTBSPQI_11	Neg	low	mergedBed/PBEH2-22_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_low.bed.tsv
22	PFC9_NTBSPQI_11	Pos	high	mergedBed/PBEH2-22_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_high.bed.tsv
22	PFC9_NTBSPQI_11	Pos	low	mergedBed/PBEH2-22_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_low.bed.tsv
23	PFC9_NTBSPQI_11	Neg	high	mergedBed/PBEH2-23_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_high.bed.tsv
23	PFC9_NTBSPQI_11	Neg	low	mergedBed/PBEH2-23_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_low.bed.tsv
23	PFC9_NTBSPQI_11	Pos	high	mergedBed/PBEH2-23_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_high.bed.tsv
23	PFC9_NTBSPQI_11	Pos	low	mergedBed/PBEH2-23_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_low.bed.tsv
24	PFC9_NTBSPQI_11	Neg	high	mergedBed/PBEH2-24_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_high.bed.tsv
24	PFC9_NTBSPQI_11	Neg	low	mergedBed/PBEH2-24_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_low.bed.tsv
24	PFC9_NTBSPQI_11	Pos	high	mergedBed/PBEH2-24_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_high.bed.tsv
24	PFC9_NTBSPQI_11	Pos	low	mergedBed/PBEH2-24_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_low.bed.tsv
25	PFC9_NTBSPQI_11	Neg	high	mergedBed/PBEH2-25_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_high.bed.tsv
25	PFC9_NTBSPQI_11	Neg	low	mergedBed/PBEH2-25_Plasmid_PFC9_NTBSPQI_11_Strand_Neg_call_low.bed.tsv
25	PFC9_NTBSPQI_11	Pos	high	mergedBed/PBEH2-25_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_high.bed.tsv
25	PFC9_NTBSPQI_11	Pos	low	mergedBed/PBEH2-25_Plasmid_PFC9_NTBSPQI_11_Strand_Pos_call_low.bed.tsv
26	PFC9_NTBSPQI_08	Neg	high	mergedBed/PBEH2-26_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_high.bed.tsv
26	PFC9_NTBSPQI_08	Neg	low	mergedBed/PBEH2-26_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_low.bed.tsv
26	PFC9_NTBSPQI_08	Pos	high	mergedBed/PBEH2-26_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_high.bed.tsv
26	PFC9_NTBSPQI_08	Pos	low	mergedBed/PBEH2-26_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_low.bed.tsv
27	PFC9_NTBSPQI_08	Neg	high	mergedBed/PBEH2-27_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_high.bed.tsv
27	PFC9_NTBSPQI_08	Neg	low	mergedBed/PBEH2-27_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_low.bed.tsv
27	PFC9_NTBSPQI_08	Pos	high	mergedBed/PBEH2-27_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_high.bed.tsv
27	PFC9_NTBSPQI_08	Pos	low	mergedBed/PBEH2-27_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_low.bed.tsv
28	PFC9_NTBSPQI_08	Neg	high	mergedBed/PBEH2-28_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_high.bed.tsv
28	PFC9_NTBSPQI_08	Neg	low	mergedBed/PBEH2-28_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_low.bed.tsv
28	PFC9_NTBSPQI_08	Pos	high	mergedBed/PBEH2-28_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_high.bed.tsv
28	PFC9_NTBSPQI_08	Pos	low	mergedBed/PBEH2-28_Plasmid_PFC9_NTBSPQI_08_Strand_Pos_call_low.bed.tsv
29	PFC9_NTBSPQI_08	Neg	high	mergedBed/PBEH2-29_Plasmid_PFC9_NTBSPQI_08_Strand_Neg_call_high.bed.tsv
